Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister","Hey, Soul Sister","Train",2009-08-06,216666,2,false,1135229191,2026-02-17T10:18:57Z,"soft pop","Columbia",0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03,4
spotify:track:2eaT5c1eKEEmikHgI7G7xa,"Fight For This Love","Messy Little Raindrops","Cheryl",2010-01-01,223120,0,false,1135229191,2026-02-17T10:18:57Z,"","Universal Music Group",0.737,0.742,7,-5.841,1,0.0909,0.0135,0,0.0691,0.761,122.99,4
spotify:track:4gs07VlJST4bdxGbBsXVue,"Heartbreak Warfare","Battle Studies","John Mayer",2009-11-13,269720,64,false,1135229191,2026-02-17T10:18:57Z,"singer-songwriter","Columbia",0.624,0.554,2,-8.113,1,0.0225,0.191,0.00131,0.299,0.311,97.031,4
spotify:track:7KPr0YxECy4Q1k2F17Sa0Q,"Memories (feat. Kid Cudi)","Memories (feat. Kid Cudi)","David Guetta;Kid Cudi",2010-02-12,210840,63,false,1135229191,2026-02-17T10:18:57Z,"edm","Parlophone (France)",0.546,0.898,8,-3.938,1,0.232,0.00158,0.00000643,0.229,0.466,130.002,4
spotify:track:3HReViQnCFUk56f4PXO3Tx,"A Night Like This","Deleted Scenes From The Cutting Room Floor","Caro Emerald",2010-01-29,226646,0,false,1135229191,2026-02-17T10:18:57Z,"electro swing,swingmuziek","Grandmono",0.859,0.745,1,-5.093,1,0.0396,0.589,0,0.112,0.951,122.97,4
spotify:track:6LXRvh3S8TB5P1PKy4lY1S,"Alors On Danse - Radio Edit","Cheese","Stromae",2010-01-01,206066,2,false,1135229191,2026-02-17T10:18:57Z,"franse pop","Universal Music Group",0.79,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,4
spotify:track:2eY2qF8cJnFXdLdw13mah4,"Bromance - Avicii Remix","10 Years Armada","Tim Berg;Avicii",2013-11-22,150160,47,false,1135229191,2026-02-17T10:18:57Z,"edm","Armada Music Albums",0.624,0.903,1,-4.54,0,0.0362,0.0325,0.757,0.0908,0.312,126.045,4
spotify:track:5tXyNhNcsnn7HbcABntOSf,"DJ Got Us Fallin' In Love (feat. Pitbull)","DJ Got Us Fallin' In Love (feat. Pitbull)","USHER;Pitbull",2010-07-13,222160,1,false,1135229191,2026-02-17T10:18:57Z,"r&b","LaFace Records",0.666,0.878,7,-2.85,0,0.0973,0.03,0,0.0828,0.669,119.932,4
spotify:track:0xcl9XT60Siji6CSG4y6nb,"Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack","Club Can't Handle Me","Flo Rida",2010-06-28,232615,58,false,1135229191,2026-02-17T10:18:57Z,"","Atlantic Records",0.623,0.882,0,-2.574,1,0.0322,0.0205,0,0.194,0.525,127.98,4
spotify:track:6tS3XVuOyu10897O3ae7bi,"California Gurls","Teenage Dream: The Complete Confection","Katy Perry;Snoop Dogg",2012-03-12,234653,75,false,1135229191,2026-02-17T10:18:57Z,"pop,g funk,west coast hiphop,gangsterrap,old school hiphop,hiphop,rap","Capitol Records",0.791,0.755,0,-3.729,1,0.0568,0.00452,0,0.163,0.426,125.014,4
spotify:track:460IQXPBqCTiPRMzH4bgsy,"We No Speak Americano (Original Mix)","We No Speak Americano","Yolanda Be Cool & DCUP",2010-02-27,269800,0,false,1135229191,2026-02-17T10:18:57Z,"","Sweat It Out",0.866,0.692,3,-4.855,0,0.0493,0.0283,0.277,0.0977,0.494,125.003,4
spotify:track:4flXUmmCKe1GAAvIoptHq7,"Bumpy Ride","MoveMeant (International)","Mohombi",2010-01-01,224720,0,false,1135229191,2026-02-17T10:18:57Z,"","Universal Music Group",0.706,0.842,0,-4.628,0,0.038,0.0476,0,0.134,0.818,104.958,4
spotify:track:7zIdqj0N7PmzyQStglSiYz,"Nothin' on You (feat. Bruno Mars) - 2012 Collection Remaster","Get Ur Freak On - R&B Anthems","B.o.B;Bruno Mars",2012-11-16,257600,0,false,1135229191,2026-02-17T10:18:57Z,"","WM UK",0.685,0.89,10,-4.609,1,0.0514,0.47,0,0.0802,0.717,103.991,4
spotify:track:1mr3616BzLdhXfJmLmRsO8,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,1,false,1135229191,2026-02-17T10:18:57Z,"","Universal Music Group",0.513,0.661,3,-6.8,1,0.0439,0.0274,0,0.118,0.461,180.118,4
spotify:track:00BuKLSAFkaEkaVAgIMbeA,"Telephone","The Fame Monster (International Deluxe)","Lady Gaga;Beyoncé",2009-01-01,220626,2,false,1135229191,2026-02-17T10:18:57Z,"art pop,pop","Universal Music Group",0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,4
spotify:track:47Slg6LuqLaX0VodpSCvPt,"Just the Way You Are","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,220734,82,false,1135229191,2026-02-17T10:18:57Z,"","Elektra (NEK)",0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
spotify:track:2M9ULmQwTaTGmAdXaXpfz5,"Billionaire (feat. Bruno Mars)","Billionaire (feat. Bruno Mars)","Travie McCoy;Bruno Mars",2010-03-09,211160,72,true,1135229191,2026-02-17T10:18:57Z,"","Decaydance/Fueled By Ramen",0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,4
spotify:track:2FhmwMy8LkJAAZv6gb08tq,"Empire State Of Mind","The Hits Collection Volume One (Deluxe)","JAY-Z;Alicia Keys",2010-11-22,277106,0,true,1135229191,2026-02-17T10:18:57Z,"hiphop,east coast hiphop,rap,r&b,neo soul","Universal Music Group",0.481,0.956,8,-1.506,0,0.393,0.0327,0,0.456,0.83,173.512,4
spotify:track:44XBLYMVEt5vJcb5qXfQ7V,"Alejandro","The Fame Monster (International Deluxe)","Lady Gaga",2009-01-01,274213,0,false,1135229191,2026-02-17T10:18:57Z,"art pop,pop","Universal Music Group",0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,4
spotify:track:6UaRii9AH6Zss9xNMEQ2M9,"Love The Way You Lie","Recovery","Eminem;Rihanna",2010-06-18,263373,4,true,1135229191,2026-02-17T10:18:57Z,"rap,hiphop","Universal Music Group",0.746,0.922,10,-5.014,1,0.236,0.246,0,0.515,0.638,86.961,4
spotify:track:4E5P1XyAFtrjpiIxkydly4,"Replay","Replay","Iyaz",2009-08-18,182306,84,false,1135229191,2026-02-17T10:18:57Z,"","Time Is Money/Beluga Heights/Reprise",0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
spotify:track:0AH6WMe3OlAlUb5miXt2FQ,"Only Girl (In The World)","Loud","Rihanna",2010-11-16,235493,75,false,1135229191,2026-02-17T10:18:57Z,"","Def Jam Recordings",0.789,0.716,11,-4.241,0,0.0432,0.129,0.0000107,0.069,0.611,125.906,4
spotify:track:41KPpw0EZCytxNkmEMJVgr,"One - Radio Edit","One (Your Name)","Swedish House Mafia",2010-07-23,169920,60,false,1135229191,2026-02-17T10:18:57Z,"edm","Virgin",0.802,0.781,0,-6.564,1,0.0368,0.0075,0.825,0.147,0.622,125.026,4
spotify:track:1QnvpPFP4Q3FHbDchqWiWy,"Airplanes (feat. Hayley Williams of Paramore)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B;Hayley Williams",2010-04-27,180480,61,true,1135229191,2026-02-17T10:18:57Z,"art pop","Rebel Rock/Grand Hustle/Atlantic",0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,4
spotify:track:20q46yTfwVdSuC8dlLh0X7,"Born Again - Balearic Soul Radio Edit","Born Again (Balearic Soul Remixes)","Ricky L;M:CK",2010-06-21,209702,0,false,1135229191,2026-02-17T10:18:57Z,"","NEWS",0.797,0.563,11,-8.018,0,0.0491,0.00568,0.0372,0.326,0.405,125.98,4
spotify:track:18cST7DK31Ab2rTH1POP6A,"Clap Your Hands","Clap Your Hands","Sia",2010-04-12,238466,36,false,1135229191,2026-02-17T10:18:57Z,"","RCA Records Label",0.699,0.87,0,-4.925,1,0.0546,0.000532,0.0219,0.359,0.778,120.033,4
spotify:track:55qBw1900pZKfXJ6Q9A2Lc,"Teenage Dream","Teenage Dream: The Complete Confection","Katy Perry",2012-03-12,227760,64,false,1135229191,2026-02-17T10:18:57Z,"pop","Capitol Records",0.719,0.804,10,-4.581,1,0.0355,0.0132,0.00000322,0.139,0.605,119.999,4
spotify:track:5WLhAmEGwePI2RD9ZECTw7,"Pack Up","Pack Up","Eliza Doolittle",2010-07-23,191026,40,false,1135229191,2026-02-17T10:18:57Z,"","Parlophone UK",0.703,0.775,11,-6.089,1,0.0653,0.49,0,0.7,0.917,134.916,4
spotify:track:7GAaTpSoTWUTbP2Yxlt4Hd,"Need You Now","Need You Now","Lady A",2010-01-01,236440,77,false,1135229191,2026-02-17T10:18:57Z,"country,popcountry","Capitol Nashville",0.581,0.717,4,-4.433,1,0.0318,0.0298,0.000185,0.243,0.316,107.884,4
spotify:track:2rDwdvBma1O1eLzo29p2cr,"Whataya Want from Me","For Your Entertainment","Adam Lambert",2009-11-23,227320,62,false,1135229191,2026-02-17T10:18:57Z,"","RCA Records Label",0.44,0.683,11,-4.732,0,0.0489,0.00706,0,0.0593,0.445,185.948,4
spotify:track:1PJW5QvHpUQGlvlWizvWnI,"Forget You - 2012 Collection Remastered","Get Ur Freak On - R&B Anthems","CeeLo Green",2012-11-16,224013,0,false,1135229191,2026-02-17T10:18:57Z,"","WM UK",0.685,0.907,0,-3.172,1,0.0636,0.166,0,0.351,0.782,127.425,4
