Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5FUYtWnjTANXR39aO6dCkg,"Als Ik Het Doe","Als Ik Het Doe","Ferry de Lits",2019-07-19,203168,0,false,dylan_sjo,2021-03-01T18:01:02Z,"hollands","Berk Music",0.765,0.849,2,-5.679,1,0.034,0.0168,0,0.0513,0.926,126.073,4
spotify:track:44kfyJitzonhcI1BcCmOlE,"Naar De Kroeg","Naar De Kroeg","Pascal Redeker",2018-12-14,181000,0,false,dylan_sjo,2021-03-01T18:07:08Z,"hollands","Berk Music",0.793,0.806,4,-6.011,1,0.0351,0.026,0.0000028,0.36,0.659,125.042,4
spotify:track:1a6U9nr5tBxNRDFsIJCoTy,"Kom Nu Maar In M'n Armen","Kom Nu Maar In M'n Armen","Frans Bauer",2017-11-16,178325,0,false,dylan_sjo,2021-03-01T18:08:53Z,"hollands,nederpop","NRGY Music",0.462,0.792,9,-3.896,1,0.0381,0.14,0.00000491,0.0979,0.853,200.072,3
spotify:track:6thMcsdHPAFJl23iRCDDpF,"Dans Met Mij Tot Morgenvroeg","Nog Een Keertje","Jean Knipping Jr",2011-10-13,175973,0,false,dylan_sjo,2021-03-01T18:16:43Z,"","Zebra Music",0.435,0.708,8,-3.252,1,0.0327,0.133,0,0.672,0.908,140.017,4
spotify:track:6BJbGCBCqf2o6orGDRBFYf,"Mariloe","Mariloe","Niels Korsuize",2020-07-31,170031,0,false,dylan_sjo,2021-03-01T18:17:16Z,"hollands","Korsuize Entertainment",0.598,0.817,5,-5.308,0,0.146,0.124,0,0.0574,0.933,192.072,4
spotify:track:2yaoHamvoLhRvqpuChkxky,"Als Men Een Drankje Naar Jou Zou Vernoemen","WB","Willem Barth",2010,195653,0,false,dylan_sjo,2021-03-11T19:45:42Z,"hollands","Berk Music",0.766,0.829,7,-2.892,1,0.0751,0.434,0,0.289,0.881,96.05,4
spotify:track:2J0br43id0NFuqLt5fJDe0,"Helena 2.0","Helena 2.0","Rutger van Barneveld",2021-02-12,200000,39,false,dylan_sjo,2021-04-04T07:19:33Z,"hollands","Hit It! Music",0.815,0.941,2,-5.341,1,0.0328,0.22,0,0.513,0.97,116.999,3
spotify:track:0MSj08EB6eLok0p8KMXk9B,"Ik Kan Niet Wachten","Ik Kan Niet Wachten","Marco de Hollander",2021-01-28,193552,17,false,dylan_sjo,2021-04-11T19:44:14Z,"hollands","NRGY Music",0.753,0.928,7,-4.861,1,0.0287,0.133,0,0.281,0.979,124.07,4
spotify:track:4FDXcMdVj5HWxtjyj2xdeM,"Die Engel","Mazzel","Lytse Hille",2018-09-28,213200,0,false,dylan_sjo,2021-04-11T19:53:03Z,"hollands","Lytse Hille",0.709,0.877,11,-6.232,1,0.0248,0.185,0,0.38,0.68,90.001,4
spotify:track:2EPXgt0jmzjii7AQHYUySP,"K wist niet dat je kwaad werd","K wist niet dat je kwaad werd","Danny Temming",2012-02-16,184000,27,false,dylan_sjo,2021-11-04T17:34:38Z,"hollands","Rood Hit Blauw Produkties",0.736,0.942,6,-4.912,1,0.0581,0.31,0,0.0849,0.977,132.044,4
spotify:track:4mQdFAhXBvRqWU2LuY2zL7,"Kom Bij Mij","Ga Met Me Mee","Rudy de Wit",2014-11-21,214946,0,false,dylan_sjo,2021-04-11T19:55:46Z,"hollands","Hit It! Music",0.682,0.919,3,-4.751,1,0.0423,0.00957,0.000028,0.391,0.962,132.004,4
spotify:track:0RbfvUCQxFv2lnsq51H9im,"Proost Op Het Leven","Jij Krijgt Die Lach Niet Van Mijn Gezicht","John De Bever",2017-11-03,201742,0,false,dylan_sjo,2021-04-11T19:58:57Z,"hollands,nederpop","Berk Music",0.401,0.806,9,-6.948,1,0.078,0.0696,0,0.231,0.674,97.499,3
spotify:track:3e3tPmY7QALr6tJ2KFT5DW,"In Ons Café","In Ons Café","Frans Duijts;Django Wagner",2012-04-20,219826,0,false,dylan_sjo,2021-04-11T20:06:44Z,"hollands,nederpop","Captain Rob Records",0.681,0.821,10,-6.535,1,0.047,0.0281,0,0.324,0.846,120.003,4
spotify:track:3MpzURhFXU8MMUh7fwpfpR,"DJ Maurice Megamix","DJ Maurice mega mix","Henk Dissel",2017-08-08,260307,26,false,dylan_sjo,2021-04-12T15:46:02Z,"hollands","HD Music",0.453,0.944,2,-3.013,1,0.0901,0.0363,0,0.0328,0.472,130.045,4
spotify:track:7AGH2eF2YPUd6X78ZGRWKT,"Ik Zing Voor Jou Een Lied","Ik Zing Voor Jou Een Lied","Gino Graus",2021-04-01,187737,19,false,dylan_sjo,2021-04-12T15:57:39Z,"hollands","NRGY Music",0.763,0.814,0,-5.397,1,0.0302,0.0935,0,0.277,0.927,126.017,4
spotify:track:25t6g8n4S7eWXAs0ZwT2ZC,"Er even tussen uit","Er even tussen uit","Feest DJ Danny",2021-04-07,222857,1,false,dylan_sjo,2021-04-12T16:00:01Z,"hollands","RoodHitBlauw Producties",0.679,0.953,11,-2.891,1,0.0548,0.152,0,0.223,0.712,129.943,4
spotify:track:0xU3RRaiG4GAghhd8Od06v,"Als Een Komeet","Als Een Komeet","Randy Watzeels",2015-11-13,208248,0,false,dylan_sjo,2021-11-04T17:35:01Z,"hollands","Zebra Music",0.781,0.933,7,-3.764,0,0.0539,0.283,0,0.341,0.971,137.032,4
spotify:track:5dQSNcHfntzs4dfJnNqoYN,"Oe la la en daar ga ik","Oe la la en daar ga ik","Colinda en Daisy",2021-02-17,199846,3,false,dylan_sjo,2021-04-17T14:54:22Z,"hollands","TeamNL",0.626,0.984,9,-2.233,1,0.0907,0.104,0,0.255,0.708,135.121,4
spotify:track:5bmZUFLASIgru2os6M6YYn,"Zij Weet Het","Zij Weet Het","FEEST DJ MAARTEN;DJ Petit;Benjamin",2019-12-04,236903,0,false,dylan_sjo,2021-04-25T13:29:57Z,"hollands","Studio747",0.697,0.867,7,-4.574,1,0.0675,0.098,0,0.159,0.568,99.991,4
spotify:track:6KpKA3H27rYJM6IZy3VP87,"Ik Ga Leven","Ik Ga Leven","John De Bever",2021-04-07,198663,39,false,dylan_sjo,2021-04-25T19:50:57Z,"hollands,nederpop","Berk Music",0.761,0.839,6,-7.417,1,0.0349,0.0319,0.00000898,0.316,0.907,126.994,4
spotify:track:14liMfVKiF6tWTnstfhDSS,"Manuela","Juinuh 2.0","Johnny Gold",2019-07-15,188680,0,false,dylan_sjo,2021-04-25T19:58:49Z,"hollands","Vincent Produkties V.O.F.",0.733,0.949,3,-3.786,1,0.039,0.209,0.0000868,0.18,0.909,135.052,4
spotify:track:0irYCuA6rS6E1NQnWKL0if,"Laila Is Haar Naam","Laila Is Haar Naam","Leo Nardell",2021-04-16,166680,35,false,dylan_sjo,2021-05-04T20:40:17Z,"hollands","Smaragd Music",0.636,0.86,10,-4.842,0,0.0593,0.0816,0,0.0853,0.706,101.06,4
spotify:track:4Y5z12LzWRptPgOszqd5kH,"Leonora","Leonora","Donny Ponsen",2021-02-26,212690,34,false,dylan_sjo,2021-05-08T05:20:06Z,"hollands","Smaragd Music",0.688,0.844,2,-5.086,1,0.071,0.107,0,0.356,0.529,128.004,4
spotify:track:4IWcauil6i20BNGjL10gTF,"BBQ","BBQ","Gebroeders Ko",2021-05-07,146132,12,false,dylan_sjo,2021-05-24T10:47:01Z,"hollands","Berk Music",0.773,0.933,9,-3.524,0,0.0502,0.122,0,0.315,0.961,97.492,4
spotify:track:3GzYXPN9dkaiMnRP0kAdvr,"Verloren Tijd","Verloren Tijd","Frans Bauer",2021-05-06,190546,8,false,dylan_sjo,2021-05-24T10:48:30Z,"hollands,nederpop","NRGY Music",0.715,0.939,10,-5.609,0,0.0537,0.0483,0.00003,0.242,0.862,129.015,4
spotify:track:4PyYGasJnEDj7RNcNMK40k,"Jammer Dan","Jammer Dan","Stef Ekkel",2021-05-28,185137,54,false,dylan_sjo,2021-05-29T17:57:56Z,"hollands","Berk Music",0.778,0.949,11,-2.887,1,0.133,0.236,0.00000932,0.307,0.938,125.108,4
spotify:track:4roBvBrGt2rqQObbGKugNO,"Hypnose","Hypnose","RAYMON HERMANS",2015-04-23,206190,0,false,dylan_sjo,2021-06-15T20:18:26Z,"hollands","Twilight Entertainment",0.787,0.912,7,-4.486,1,0.0717,0.245,0.00000574,0.275,0.888,126.023,4
spotify:track:4NNCpPby4rZkr4ON6e95zt,"Als De Zomer Komt","Als De Zomer Komt","Django Wagner",2021-06-18,188209,29,false,dylan_sjo,2021-07-05T13:10:02Z,"hollands","Berk Music",0.693,0.877,5,-4.419,0,0.031,0.0373,0.0000145,0.192,0.872,96.461,4
spotify:track:55gv62EVzSagYaqYv04jEj,"Wij Vieren Het Leven","Wij Vieren Het Leven","Jannes",2013-08-28,206334,5,false,dylan_sjo,2021-07-05T13:11:37Z,"hollands,nederpop","Dino Music, a label and trademark of 8ball Music BV",0.778,0.908,10,-6.144,1,0.0321,0.0493,0,0.244,0.975,126.027,4
spotify:track:5LXsRvfa8HvpIxWpO5JibW,"Ciao De Baco","Ciao De Baco","Ronnie Ruysdael",2021-07-07,163680,21,false,dylan_sjo,2021-07-09T10:27:27Z,"hollands","ronnie en thijs records",0.652,0.899,6,-5.072,1,0.0581,0.044,0,0.373,0.909,124.976,4
spotify:track:1f9X68h6QGh01bD0r4g9DF,"Ik Ga Zwemmen","Ik Ga Zwemmen","Mart Hoogkamer",2021-07-15,179363,50,false,dylan_sjo,2021-07-26T20:36:01Z,"hollands,nederpop","NRGY Music",0.471,0.891,1,-3.848,1,0.142,0.203,0,0.332,0.885,200.039,4
spotify:track:2ad80mH76d4vYG1kJe4tq8,"Dans","Dans","John West",2021-06-23,209600,31,false,dylan_sjo,2021-07-26T20:37:07Z,"hollands","Cornelis Music",0.745,0.961,4,-2.062,0,0.0794,0.0735,0.00000926,0.295,0.708,117.971,4
spotify:track:3O4pSTUoJODCTWsEnemHY4,"Waarom De Zon Vandaag Verdween","Waarom De Zon Vandaag Verdween","Rudy de Wit",2021-06-04,197000,13,false,dylan_sjo,2021-07-26T20:42:55Z,"hollands","Hit It! Music",0.596,0.858,7,-4.184,1,0.035,0.261,0,0.114,0.952,168.109,4
spotify:track:538YUbDTUtMzkHyhlIdNhI,"Ik Hou Van Het Leven","Ik Hou Van Het Leven","Dirk Meeldijk",2007,265320,0,false,dylan_sjo,2021-07-26T20:44:54Z,"hollands","Berk Music",0.37,0.74,7,-3.638,1,0.044,0.513,0,0.268,0.497,160.305,4
spotify:track:2lLJZ9cbx2Dp8cgfQTPkhy,"Bloedje Bloedje Heet","Bloedje Bloedje Heet","Rob Zorn",2021-06-09,234371,34,false,dylan_sjo,2021-07-30T16:35:56Z,"hollands","UltimateDisk",0.541,0.804,6,-6.035,0,0.0762,0.0377,0,0.127,0.84,191.98,4
spotify:track:3WO8p20Km1ZSxrA2no6zjB,"Een Blik In Jouw Ogen","Een Blik In Jouw Ogen","Wesley Klein",2021-07-08,184671,46,false,dylan_sjo,2021-08-14T07:51:27Z,"hollands","Toekomst Music",0.737,0.965,10,-3.069,1,0.0456,0.141,0,0.293,0.688,116.038,4
spotify:track:120MmPO9SGxRnWxSku5PG3,"Dansen","Alle Remmen Los!","Jeroen Van Zelst",2014-04-04,190929,0,false,dylan_sjo,2021-09-01T14:51:40Z,"hollands","Berk Music",0.718,0.952,2,-4.704,1,0.0473,0.0835,0.00000198,0.307,0.914,147.039,5
