Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7rUfDHibo6be1PAVzkZFWP,"Kleine Jongen","Oranje Leeuwinnen | EK Voetbal Vrouwen 2022","Andre Hazes",2022-06-14,223133,34,false,qmusicnl,2025-06-22T19:41:17Z,"hollands,nederpop","UME - Global Clearing House",0.56,0.741,9,-4.755,1,0.031,0.0244,0,0.111,0.503,91.202,4
spotify:track:2yAVzRiEQooPEJ9SYx11L3,"Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","Europop","Eiffel 65;Gabry Ponte",1999,283747,7,false,qmusicnl,2025-06-22T19:41:17Z,"italo dance,eurodance,europop,slaphouse","Hits Only",0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,4
spotify:track:3Dy4REq8O09IlgiwuHQ3sk,"Waterloo","Waterloo","ABBA",1974,168960,73,false,qmusicnl,2025-06-22T19:41:17Z,"","Polar Music International AB",0.445,0.949,2,-4.682,1,0.0471,0.395,0.00000818,0.0902,0.653,147.604,4
spotify:track:0ZQ0joVxux8BRHFwe1mcmz,"Heyah mama","Parels","K3",1999,203666,0,false,qmusicnl,2025-06-22T19:41:17Z,"kindermuziek","Studio 100",0.65,0.89,10,-4.6,1,0.0286,0.0845,0,0.391,0.884,95.978,4
spotify:track:4xGuK7FsXuZwHCCuNnPzbD,"L'Amour Toujours","Top 100 Greatest Dance Hits","Gigi D'Agostino",2011,238759,4,false,qmusicnl,2025-06-22T19:41:17Z,"italo dance,eurodance","Cloud 9 Music",0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,4
spotify:track:1lzzSzBejW6m8UN2PdRsDv,"100%","100%","FLEMMING;Mart Hoogkamer",2025-02-21,151493,34,false,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","8Ball Music / NRGY Music",0.644,0.906,9,-3.335,1,0.053,0.0578,0,0.155,0.496,144.995,4
spotify:track:4cOdK2wGLETKBW3PvgPWqT,"Never Gonna Give You Up","Whenever You Need Somebody","Rick Astley",1987-11-12,213573,4,false,qmusicnl,2025-06-22T19:41:17Z,"","BMG Rights Management (UK) Ltd",0.721,0.939,8,-11.823,1,0.0376,0.115,0.0000379,0.108,0.914,113.309,4
spotify:track:31DSKNhOyK88M3yRVANJfz,"Sex Met Die Kale","10 Jaar Lawinegevaar","Lawineboys;DJ Jerome",2012-01-19,225000,52,false,qmusicnl,2025-06-22T19:41:17Z,"hollands","Berk Music",0.605,0.983,8,-2.595,1,0.0426,0.139,0.0000233,0.774,0.908,154.047,4
spotify:track:6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,83,false,qmusicnl,2025-06-22T19:41:17Z,"pop","Jive",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
spotify:track:0rEuuYpZ2yWU6ppTJpe9wT,"Ik Ben Kachel","Ik Ben Kachel","OBZ",2020-12-19,207999,52,false,qmusicnl,2025-06-22T19:41:17Z,"hollands","DLN",0.894,0.752,11,-8.174,0,0.0593,0.0815,0.000735,0.405,0.947,105.009,4
